case_id,success,翼根弦长,翼中弦长,翼尖弦长,翼根扭转角,翼中扭转角,翼尖扭转角,T_N,P_kW,eta_%,CT,CP,J
126,True,342.0231034289445,282.29722030692267,232.21086923504765,39.6959090805261,10.573431726088236,-5.973086117835672,-28605.55584591986,-2174.383395008585,100.0,-0.15820343332785541,-0.23851044808706356,1.53116880538029
824,True,336.6193573893222,332.7160689751931,211.2970092442759,32.437668211533584,11.95453391786024,2.115950268554011,-29957.658111205063,-2286.782925850208,100.0,-0.16568125413059298,-0.2508396732491723,1.53116880538029
813,True,371.0147599781207,300.45085026138213,265.7757133117199,47.48077228475394,20.2009017268996,-4.586699737503939,-31302.4454219341,-2393.6836272964256,100.0,-0.1731186194731515,-0.2625657259137062,1.53116880538029
816,True,361.1509424474861,335.0351083381871,242.9524647274134,31.52516924617372,16.449371071763434,-2.292971311173315,-31776.136242932993,-2434.1889595371917,100.0,-0.1757383732937578,-0.2670087992764065,1.53116880538029
806,True,446.1093558167822,330.3359539479433,226.42722485019897,43.25859028047766,19.38704275452855,4.243239096143533,-31798.789893473426,-2452.8939253360254,100.0,-0.17586365963016778,-0.2690605670485364,1.53116880538029
811,True,396.2935889502411,341.677641178894,285.9642667050108,35.27620382810155,24.38396785819292,2.8331298828153813,-34417.84054671285,-2651.448365246521,100.0,-0.1903483565063216,-0.2908402166454932,1.53116880538029
804,True,410.94504474519306,260.071493914987,243.64318448096395,40.89470164097066,18.97217303948446,2.6619598668231834,-28891.32215506157,-2206.8533812924143,100.0,-0.159783867963671,-0.2420721157284348,1.53116880538029
789,True,377.3957598507831,375.4116954699705,276.77523930386496,43.21268273452718,15.44848559527001,-4.516167336539435,-35350.30009665241,-2727.5106524154207,100.0,-0.1955053373052396,-0.2991835705530085,1.53116880538029
139,True,330.9796213052853,296.47854458961274,218.643545633493,36.188409251700335,24.75740008739843,-0.4990527082293265,-28527.122637550918,-2168.367637615257,100.0,-0.15776965735378515,-0.23785057320264372,1.53116880538029
140,True,344.0656684532256,250.37442861424603,233.54975009896663,38.196160929477706,24.947385625981543,-3.697735211647631,-27192.28979599585,-2060.641571566826,100.0,-0.15038734534452874,-0.22603398540913436,1.53116880538029
702,True,404.41198747393696,263.1276080254879,232.08592852263712,33.61395771959703,15.96807760669907,-3.474269665850679,-28440.111372913576,-2170.6723498025112,100.0,-0.15728844031755723,-0.2381033795558175,1.53116880538029
704,True,343.4322171683532,337.8149799070052,242.57858477330856,36.32864316096264,21.955681016461533,-2.104334322877894,-31677.82672676561,-2423.7414509262967,100.0,-0.1751946711168012,-0.26586280084489805,1.53116880538029
705,True,362.38939069254144,284.7445875504462,238.2160632345976,43.629648404359344,22.74323094787705,-6.793159639415456,-29232.102615407548,-2227.2248589314713,100.0,-0.16166855914492873,-0.24430668497277352,1.53116880538029
708,True,444.1056322940948,284.9711607669521,268.397799495665,48.18077977938162,17.341676070302846,-3.03533931783009,-31544.220997717068,-2425.4526547795376,100.0,-0.17445576273265367,-0.266050504631977,1.53116880538029
698,True,376.60505764150827,329.17488461628835,256.58621196753296,49.825816382670006,16.594549363382438,3.2698773824727603,-32295.14485995529,-2477.1065279502386,100.0,-0.17860875782961297,-0.27171647341358995,1.53116880538029
149,True,436.9129489383171,277.36136076538514,250.94712689765956,48.2679393747726,15.42902439141936,-9.224892181475978,-30325.86150212245,-2326.9303022000554,100.0,-0.16771760821928297,-0.25524348204604924,1.53116880538029
155,True,357.08296526337966,254.8678388221684,222.6340616134796,31.46665169780615,21.53548901689128,-5.7914295329938685,-27069.649663374887,-2053.9207206668266,100.0,-0.14970908234733593,-0.22529676806128074,1.53116880538029
156,True,358.3884123558047,269.60806986974575,246.1799574344825,36.35694330490781,13.147836582874715,3.4327983725081808,-28833.635250091655,-2193.484335884488,100.0,-0.15946482971552592,-0.24060565079034676,1.53116880538029
141,True,309.57519311164606,267.15569316347614,266.7432632210412,42.80251808491377,24.22049999555225,-2.7283599404520045,-29049.44417080871,-2202.527665175869,100.0,-0.1606583640199847,-0.24159762328537113,1.53116880538029
142,True,426.2559037567554,276.5375059474262,256.1213090202544,32.242385729871565,18.2109600497089,1.5431690711314392,-30397.752656771223,-2330.205678919339,100.0,-0.16811520327223706,-0.2556027616334319,1.53116880538029
